id_produto,nome,categoria,preco
1,laborum,Eletrônicos,32.01
2,dolorem,Casa,137.55
3,eos,Roupas,373.51
4,rem,Eletrônicos,303.44
5,consectetur,Eletrônicos,34.3
6,adipisci,Roupas,131.68
7,distinctio,Eletrônicos,289.4
8,temporibus,Esportes,125.81
9,repellat,Casa,408.53
10,doloremque,Eletrônicos,384.23
11,repudiandae,Roupas,355.11
12,laudantium,Casa,153.38
13,ut,Roupas,479.46
14,alias,Casa,69.06
15,consectetur,Esportes,66.42
16,incidunt,Casa,309.79
17,eius,Eletrônicos,370.27
18,perferendis,Eletrônicos,487.1
19,harum,Esportes,57.82
20,ullam,Casa,418.11
21,quaerat,Casa,297.13
22,earum,Eletrônicos,42.0
23,aspernatur,Roupas,391.07
24,similique,Eletrônicos,430.55
25,eius,Eletrônicos,202.46
26,ab,Esportes,325.13
27,repellat,Casa,98.07
28,nesciunt,Casa,120.56
29,optio,Casa,356.87
30,blanditiis,Eletrônicos,312.38
31,eos,Roupas,276.39
32,vitae,Roupas,98.43
33,rerum,Esportes,149.57
34,praesentium,Roupas,348.61
35,consectetur,Eletrônicos,129.94
36,sequi,Eletrônicos,406.42
37,cum,Esportes,148.52
38,dignissimos,Roupas,458.31
39,nam,Casa,122.06
40,architecto,Esportes,209.9
41,tempora,Esportes,88.58
42,distinctio,Roupas,138.38
43,distinctio,Casa,378.57
44,cum,Esportes,450.95
45,eos,Esportes,193.76
46,dolore,Roupas,264.57
47,cumque,Eletrônicos,382.78
48,vitae,Eletrônicos,93.36
49,voluptates,Roupas,400.2
50,officia,Esportes,306.28
