id_venda,id_cliente,id_produto,quantidade,data_pedido
1,395,25,10,2026-01-09
2,480,34,5,2026-05-14
3,995,36,1,2025-10-02
4,697,47,2,2025-09-23
5,699,35,5,2026-05-21
6,788,42,6,2026-04-15
7,115,19,7,2025-09-23
8,162,30,1,2025-12-30
9,977,47,5,2025-09-19
10,996,33,3,2026-07-12
11,520,7,5,2025-08-27
12,862,41,9,2026-03-26
13,624,13,3,2025-08-23
14,383,49,3,2025-09-30
15,553,50,9,2025-12-15
16,941,1,10,2026-05-10
17,332,32,1,2026-02-21
18,115,24,5,2026-01-19
19,246,4,4,2025-11-11
20,900,37,2,2026-07-16
21,88,47,8,2026-05-12
22,836,5,9,2025-10-29
23,785,9,3,2025-11-27
24,676,31,9,2025-10-21
25,170,17,9,2025-12-29
26,894,39,7,2025-10-27
27,988,14,9,2025-08-16
28,774,47,4,2025-10-16
29,731,20,7,2026-04-07
30,688,42,6,2026-04-12
31,449,34,8,2025-11-30
32,124,16,4,2026-02-18
33,66,22,1,2025-10-05
34,603,36,4,2026-05-26
35,603,15,1,2025-10-15
36,73,46,1,2025-09-13
37,235,5,1,2025-08-20
38,881,22,2,2026-03-04
39,527,16,5,2026-01-03
40,686,32,4,2026-02-20
41,553,9,10,2026-07-15
42,591,31,4,2026-06-22
43,804,31,7,2026-03-10
44,195,7,2,2025-12-09
45,675,28,6,2025-09-30
46,434,27,8,2026-03-18
47,885,47,1,2025-12-27
48,690,42,2,2025-08-18
49,63,26,6,2026-06-09
50,820,7,4,2025-10-21
51,197,13,9,2026-06-17
52,460,9,7,2026-08-11
53,188,18,8,2025-12-18
54,256,5,8,2025-12-29
55,828,36,2,2026-05-28
56,52,42,9,2026-06-04
57,857,1,2,2026-05-08
58,949,49,4,2025-08-12
59,171,27,8,2026-07-18
60,493,14,7,2026-04-30
61,925,4,3,2026-03-08
62,389,1,7,2025-12-16
63,272,30,5,2026-05-24
64,434,45,9,2026-03-13
65,678,46,8,2026-06-09
66,159,13,5,2026-05-23
67,223,4,10,2025-11-03
68,754,35,1,2026-01-25
